代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101,台泥,2013/01/02,2.49,2.75,2.21,1.62,1.37,77.66
1102,亞泥,2013/01/02,1.76,1.95,1.15,0.92,0.58,84.58
1103,嘉泥,2013/01/02,2.59,2.51,1.82,0.85,1.49,76.78
1104,環泥,2013/01/02,2.74,3.12,2.24,1.93,1.13,71.95
1108,幸福,2013/01/02,2.02,3.03,1.59,1.96,1.55,72.24
1109,信大,2013/01/02,1.78,2.16,2.1,1.43,1.31,86.06
1110,東泥,2013/01/02,0.81,1.41,1.04,1.22,0.48,89.82
1201,味全,2013/01/02,2.89,4.01,2.49,2.27,2.52,61.15
1203,味王,2013/01/02,2.24,3.44,3.15,1.76,0.77,74.67
1210,大成,2013/01/02,4.34,3.49,2.33,1.6,1.28,55.42
1213,大飲,2013/01/02,1.14,1.17,0,0,0,72.16
1215,卜蜂,2013/01/02,4.59,3.86,1.07,0.92,1.13,50
1216,統一,2013/01/02,1.19,1.69,1.74,1.46,1.27,85.21
1217,愛之味,2013/01/02,5.12,4.28,2.29,2.5,3.14,39.41
1218,泰山,2013/01/02,4.11,3.06,4.66,2.89,1.46,56.55
1219,福壽,2013/01/02,1.22,1.7,1.62,2.1,0.84,81.63
1220,台榮,2013/01/02,3.3,4.11,3.22,2,1.44,73.91
1225,福懋油,2013/01/02,3.39,5.55,1.74,1.92,1.92,65.73
1227,佳格,2013/01/02,1.92,2.74,2.17,1.63,1.7,73.9
1229,聯華,2013/01/02,3.03,3.11,1.42,0.89,0.93,71.8
1231,聯華食,2013/01/02,3.08,2.43,3.98,0,0,71.56
1232,大統益,2013/01/02,2.3,1.25,2.44,0,0.59,78.89
1233,天仁,2013/01/02,5.92,7.27,6.09,2.23,4.05,58.84
1234,黑松,2013/01/02,1.25,3.05,2.28,3.21,2.73,83
1235,興泰,2013/01/02,1.88,1.09,1.6,2.24,3.21,79.76
1236,宏亞,2013/01/02,1.74,2.07,0.97,0.68,0,80.74
1256,鮮活果汁-KY,2013/01/02,4.35,5.29,5.21,3.43,5.58,64.54
1259,安心,2013/01/02,3.67,1.42,6.49,0,5.16,65.1
1301,台塑,2013/01/02,1.88,1.82,1.27,0.87,0.72,82.07
1303,南亞,2013/01/02,2.04,1.69,1.21,0.73,0.62,81.84
1304,台聚,2013/01/02,4.03,3.18,1.75,1.03,1.22,57.51
1305,華夏,2013/01/02,2.75,3.41,2.73,2.13,1.01,68.38
1307,三芳,2013/01/02,2.14,2.05,1.89,0.54,0.22,83
1308,亞聚,2013/01/02,4.61,2.66,1.78,1.6,0,49.86
1309,台達化,2013/01/02,5.18,4.77,1.21,1.77,2.1,53.27
1310,台苯,2013/01/02,8.09,5.99,2.88,1.68,1.35,21.2
1312,國喬,2013/01/02,3.18,2.77,1.55,1.49,1.4,63.77
1313,聯成,2013/01/02,3.66,2.98,2.2,1.36,1.13,71.18
1314,中石化,2013/01/02,5.96,4.26,1.93,1.43,1.43,38.15
1315,達新,2013/01/02,2.75,2.64,1.74,1.58,0.88,81.33
1316,上曜,2013/01/02,6.48,7.88,3.64,3.51,1.29,42.4
1319,東陽,2013/01/02,2.79,2.92,1.26,1.92,0.77,71.75
1321,大洋,2013/01/02,5.78,6.95,7.07,2.71,3.17,62.65
1323,永裕,2013/01/02,6.53,6.53,4.85,3.24,4.67,47.95
1324,地球,2013/01/02,3.24,3.65,1.89,2.65,1.07,62.1
1325,恒大,2013/01/02,4.2,1.56,1.35,1.22,1.84,73.51
1326,台化,2013/01/02,1.27,1.13,0.84,0.65,0.52,87.28
1336,台翰,2013/01/02,6.69,6.42,5.11,4.42,2.94,53.64
1337,再生-KY,2013/01/02,2.66,3.79,3.17,2.85,1.04,75.73
1338,廣華-KY,2013/01/02,4.29,5.3,3.58,5.08,1.37,67.83
1339,昭輝,2013/01/02,1.95,1.28,0.66,1.91,1.33,84.14
