代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1449,佳和,2023/01/13,4.55,4.3,2.37,1.78,3.48,60.98
1451,年興,2023/01/13,4.81,3.98,3.24,3.72,0,59.05
1452,宏益,2023/01/13,4.31,7.08,5.96,3.99,2.55,29.93
1453,大將,2023/01/13,2.1,0.41,0.89,0.66,0.89,75.23
1454,台富,2023/01/13,2.75,4.24,2.87,3.72,2.09,72.49
1455,集盛,2023/01/13,4.01,3.08,2.3,1.02,0.5,54.16
1456,怡華,2023/01/13,2.41,3.78,0.56,0.75,0.96,80.96
1457,宜進,2023/01/13,4.27,3.21,2.81,1.9,1.82,62.69
1459,聯發,2023/01/13,2.29,2.95,2.23,2.3,1.49,74.42
1460,宏遠,2023/01/13,6.04,5.25,3.28,1.38,3.08,54.74
1463,強盛,2023/01/13,3.72,3.81,5.67,3.43,1.08,57.84
1464,得力,2023/01/13,4.74,5.34,2.41,1.82,1.42,51.34
1465,偉全,2023/01/13,3.18,5.21,4.04,3.06,0.84,60.92
1466,聚隆,2023/01/13,4.2,6.56,1.42,1.89,1.59,54.01
1467,南緯,2023/01/13,4.67,2.8,3.29,1.1,3.45,58.78
1468,昶和,2023/01/13,0.42,0.3,0,0,0,97.67
1470,大統新創,2023/01/13,2.36,4.59,6.75,2.28,6.09,71.1
1471,首利,2023/01/13,9.12,3.61,2.22,2.26,1.14,22.85
1472,三洋實業,2023/01/13,6.02,5.8,0,0,0,62.15
1473,台南,2023/01/13,3.29,5.2,1.98,1.89,0.58,63.88
1474,弘裕,2023/01/13,5.76,4.68,2.56,2.58,0.62,46.66
1475,業旺,2023/01/13,5.44,9.16,3.77,2.69,0,57.68
1476,儒鴻,2023/01/13,4.19,5.33,5.77,4.9,3.25,67.83
1477,聚陽,2023/01/13,6.44,6.32,5.85,5.54,3.96,52.51
1503,士電,2023/01/13,2.39,1.98,1.16,0.78,0.35,84.07
1504,東元,2023/01/13,2.17,2.46,1.47,1.07,0.83,78.14
1506,正道,2023/01/13,3.34,4.21,2.54,0.76,1.29,73.77
1512,瑞利,2023/01/13,8.59,7.09,1.87,1.5,2.01,54.79
1513,中興電,2023/01/13,4.04,4.4,4.4,2.43,2.9,50.36
1514,亞力,2023/01/13,6.1,5.03,5.64,4.5,1.45,43.32
1515,力山,2023/01/13,4.34,2.66,3.34,1.18,4.41,44.1
1516,川飛,2023/01/13,5.97,5.19,0,5.5,0,44.63
1517,利奇,2023/01/13,3.21,5.04,1.01,0.61,0.39,45.28
1519,華城,2023/01/13,2.39,2.97,3.61,2.71,2.05,66.35
1521,大億,2023/01/13,1.11,1.92,0,0.97,5.24,61.27
1522,堤維西,2023/01/13,2.95,2.83,1.63,1.6,2.22,54.6
1524,耿鼎,2023/01/13,4.37,3.94,1.9,0.47,0.6,34.55
1525,江申,2023/01/13,1.23,0.97,1.44,1.95,0,82.11
1526,日馳,2023/01/13,6.03,7.93,6.64,1.01,1.49,33.81
1527,鑽全,2023/01/13,4.93,4.22,2.78,1.38,1.87,21.88
1528,恩德,2023/01/13,6.45,9.32,3.66,1.75,0.41,44.79
1529,樂事綠能,2023/01/13,4.65,4.18,1.7,1.35,1.17,56.71
1530,亞崴,2023/01/13,3.33,2.37,1.19,2.21,0.85,73.92
1531,高林股,2023/01/13,7.08,3.93,3.62,1.9,0.45,59.67
1532,勤美,2023/01/13,4.24,4.94,4.34,2.82,1.17,67.82
1533,車王電,2023/01/13,2.49,3.39,5.52,5.61,3.53,52.7
1535,中宇,2023/01/13,2.37,1.51,1.51,0.58,0,74.9
1536,和大,2023/01/13,3.53,5.4,3.77,3.26,1.9,44.25
1537,廣隆,2023/01/13,3.43,3.86,3.48,3.4,3.21,46.27
1538,正峰,2023/01/13,3,8.78,5.92,0,0,50.28
1539,巨庭,2023/01/13,3.85,1.8,2.24,2.13,0,57.07
1540,喬福,2023/01/13,8.04,5.25,6.31,3.16,2.21,28.41
1541,錩泰,2023/01/13,1.14,4.03,1.96,0.9,2.35,78.32
1558,伸興,2023/01/13,5,13.55,8.7,5.28,5.58,11.53
1560,中砂,2023/01/13,3.2,5.7,3.72,2.87,1.82,37.93
1565,精華,2023/01/13,7.08,10.27,5.57,6.93,0,21.24
1568,倉佑,2023/01/13,3.14,2.47,1.93,2.55,0.81,53.85
1569,濱川,2023/01/13,4.39,5.92,5.75,2.23,4.37,38.78
1570,力肯,2023/01/13,6.83,8.06,10.23,6.89,1.56,24.33
