,年度,季別,公司代號,公司名稱,股本,股本分級
490,112,1,2704,國賓,3669234,3
491,112,1,2705,六福,1913128,4
492,112,1,2706,第一店,4999984,3
493,112,1,2707,晶華,1274032,4
494,112,1,2712,遠雄來,1050000,4
495,112,1,2718,晶悅,845760,5
496,112,1,2719,燦星旅,687421,5
497,112,1,2722,夏都,1115229,4
498,112,1,2723,美食-KY,1800000,4
499,112,1,2724,富驛-KY,596564,5
500,112,1,2726,雅茗-KY,357852,5
501,112,1,2727,王品,769879,5
502,112,1,2729,瓦城,313042,5
503,112,1,2731,雄獅,929363,5
504,112,1,2732,六角,464476,5
505,112,1,2734,易飛網,422598,5
506,112,1,2736,富野,489923,5
507,112,1,2739,寒舍,1015260,4
508,112,1,2740,天蔥,231855,5
509,112,1,2743,山富,360117,5
510,112,1,2745,五福,338085,5
511,112,1,2748,雲品,1025685,4
512,112,1,2752,豆府,262674,5
513,112,1,2753,八方雲集,663448,5
514,112,1,2754,亞洲藏壽司,467172,5
515,112,1,2755,揚秦,220000,5
516,112,1,2756,聯發國際,204523,5
517,112,1,2855,統一證,14558313,1
518,112,1,2880,華南金,136427459,1
519,112,1,2881,富邦金,139952026,1
520,112,1,2882,國泰金,162025102,1
521,112,1,2883,開發金,184252310,1
522,112,1,2884,玉山金,142930000,1
523,112,1,2885,元大金,125015590,1
524,112,1,2886,兆豐金,139398196,1
525,112,1,2887,台新金,130741476,1
526,112,1,2888,新光金,157846182,1
527,112,1,2889,國票金,34473840,1
528,112,1,2890,永豐金,121337646,1
529,112,1,2891,中信金,200837908,1
530,112,1,2892,第一金,132234423,1
531,112,1,2901,欣欣,730433,5
532,112,1,2903,遠百,14169406,1
533,112,1,2904,匯僑,778344,5
534,112,1,2905,三商,9224957,2
535,112,1,2906,高林,2091111,3
536,112,1,2908,特力,5098875,2
537,112,1,2910,統領,2087250,3
538,112,1,2911,麗嬰房,1906778,4
539,112,1,2912,統一超,10396223,1
540,112,1,2913,農林,7900000,2
541,112,1,2915,潤泰全,11043188,1
542,112,1,2916,滿心,546269,5
543,112,1,2923,鼎固-KY,17402970,1
544,112,1,2924,宏太-KY,328051,5
545,112,1,2926,誠品生活,473897,5
546,112,1,2929,淘帝-KY,1094938,4
547,112,1,2937,集雅社,379197,5
548,112,1,2939,凱羿-KY,455487,5
549,112,1,2945,三商家購,675000,5
550,112,1,2947,振宇五金,192686,5
551,112,1,3002,歐格,1020000,4
552,112,1,3003,健和興,1556549,4
553,112,1,3004,豐達科,526592,5
554,112,1,3005,神基,6065004,2
555,112,1,3006,晶豪科,2861570,3
556,112,1,3008,大立光,1334682,4
557,112,1,3010,華立,2360179,3
558,112,1,3011,今皓,1127192,4
559,112,1,3013,晟銘電,1959350,4
560,112,1,3014,聯陽,1610801,4
561,112,1,3015,全漢,1872620,4
562,112,1,3016,嘉晶,2885394,3
563,112,1,3017,奇鋐,4735925,3
564,112,1,3019,亞光,2792439,3
565,112,1,3021,鴻名,958900,5
566,112,1,3022,威強電,1765978,4
567,112,1,3023,信邦,2390561,3
568,112,1,3024,憶聲,2771575,3
569,112,1,3025,星通,709206,5
570,112,1,3026,禾伸堂,1579908,4
571,112,1,3027,盛達,1149693,4
572,112,1,3028,增你強,2208260,3
573,112,1,3029,零壹,1533147,4
574,112,1,3030,德律,2362160,3
575,112,1,3031,佰鴻,1732032,4
576,112,1,3032,偉訓,1132856,4
577,112,1,3033,威健,4235432,3
578,112,1,3034,聯詠,6085115,2
579,112,1,3035,智原,2485503,3
580,112,1,3036,文曄,10215462,1
581,112,1,3037,欣興,15237992,1
582,112,1,3038,全台,1574076,4
583,112,1,3040,遠見,630000,5
584,112,1,3041,揚智,1942919,4
585,112,1,3042,晶技,3097570,3
586,112,1,3043,科風,389756,5
587,112,1,3044,健鼎,5256059,2
588,112,1,3045,台灣大,35192336,1
589,112,1,3046,建碁,714480,5
590,112,1,3047,訊舟,2113845,3
591,112,1,3048,益登,2698298,3
592,112,1,3049,和鑫,8050475,2
593,112,1,3050,鈺德,1459845,4
594,112,1,3051,力特,1700000,4
595,112,1,3052,夆典,2287135,3
596,112,1,3054,立萬利,834110,5
597,112,1,3055,蔚華科,1187419,4
598,112,1,3056,總太,2427487,3
599,112,1,3057,喬鼎,926787,5
600,112,1,3058,立德,1585764,4
601,112,1,3059,華晶科,2788000,3
602,112,1,3060,銘異,1375632,4
603,112,1,3062,建漢,3302154,3
604,112,1,3064,泰偉,433715,5
605,112,1,3066,李洲,830706,5
606,112,1,3067,全域,200000,5
607,112,1,3071,協禧,1100000,4
608,112,1,3073,天方能源,320996,5
609,112,1,3078,僑威,2273911,3
610,112,1,3081,聯亞,918677,5
611,112,1,3083,網龍,864337,5
612,112,1,3085,新零售,290193,5
613,112,1,3086,華義,222748,5
614,112,1,3088,艾訊,919605,5
615,112,1,3089,億杰,651133,5
616,112,1,3090,日電貿,2126572,3
617,112,1,3092,鴻碩,1032210,4
618,112,1,3093,港建*,362888,5
619,112,1,3094,聯傑,831171,5
620,112,1,3095,及成,103600,5
621,112,1,3105,穩懋,4239404,3
622,112,1,3114,好德,626248,5
623,112,1,3115,富榮綱,436976,5
624,112,1,3118,進階,324529,5
625,112,1,3122,笙泉,395861,5
626,112,1,3128,昇銳,420000,5
627,112,1,3130,一零四,331907,5
628,112,1,3131,弘塑,292160,5
629,112,1,3138,耀登,467111,5
630,112,1,3141,晶宏,750933,5
631,112,1,3147,大綜,390061,5
632,112,1,3149,正達,2241856,3
633,112,1,3152,璟德,690162,5
634,112,1,3162,精確,1308973,4
635,112,1,3163,波若威,752869,5
636,112,1,3164,景岳,863714,5
637,112,1,3167,大量,801341,5
638,112,1,3169,亞信,627770,5
639,112,1,3171,新洲,667035,5
640,112,1,3176,基亞,1393463,4
641,112,1,3178,公準,450500,5
642,112,1,3188,鑫龍騰,1863099,4
643,112,1,3189,景碩,4542191,3
644,112,1,3191,和進,871948,5
645,112,1,3202,樺晟,1171649,4
646,112,1,3205,佰研,325456,5
647,112,1,3206,志豐,589167,5
648,112,1,3207,耀勝,537704,5
649,112,1,3209,全科,2291110,3
650,112,1,3211,順達,1505315,4
651,112,1,3213,茂訊,586855,5
652,112,1,3217,優群,901042,5
653,112,1,3218,大學光,799292,5
654,112,1,3219,倚強科,703512,5
655,112,1,3221,台嘉碩,1040444,4
656,112,1,3224,三顧,681726,5
657,112,1,3226,至寶電,644306,5
658,112,1,3227,原相,1461373,4
659,112,1,3228,金麗科,677927,5
660,112,1,3229,晟鈦,642630,5
661,112,1,3230,錦明,710109,5
662,112,1,3231,緯創,29001661,1
663,112,1,3232,昱捷,465679,5
664,112,1,3234,光環,764747,5
665,112,1,3236,千如,929209,5
666,112,1,3252,海灣,501958,5
667,112,1,3257,虹冠電,799866,5
668,112,1,3259,鑫創,746877,5
669,112,1,3260,威剛,2674264,3
670,112,1,3264,欣銓,4901701,3
671,112,1,3265,台星科,1362617,4
672,112,1,3266,昇陽,3523143,3
673,112,1,3268,海德威,334263,5
674,112,1,3272,東碩,546143,5
675,112,1,3276,宇環,697127,5
676,112,1,3284,太普高,879618,5
677,112,1,3285,微端,427353,5
678,112,1,3287,廣寰科,439705,5
679,112,1,3288,點晶,150000,5
680,112,1,3289,宜特,747751,5
681,112,1,3290,東浦,999961,5
682,112,1,3293,鈊象,1409008,4
683,112,1,3294,英濟,1320159,4
684,112,1,3296,勝德,967244,5
685,112,1,3297,杭特,360494,5
686,112,1,3303,岱稜,940906,5
687,112,1,3305,昇貿,1342375,4
688,112,1,3306,鼎天,506077,5
689,112,1,3308,聯德,706840,5
690,112,1,3310,佳穎,578514,5
691,112,1,3311,閎暉,680000,5
692,112,1,3312,弘憶股,1626254,4
693,112,1,3313,斐成,1187708,4
694,112,1,3317,尼克森,612515,5
695,112,1,3321,同泰,1561448,4
696,112,1,3322,建舜電,1075065,4
697,112,1,3323,加百裕,803059,5
698,112,1,3324,雙鴻,883941,5
699,112,1,3325,旭品,846346,5
700,112,1,3332,幸康,481042,5
701,112,1,3338,泰碩,879081,5
702,112,1,3339,泰谷,516312,5
703,112,1,3346,麗清,1067326,4
704,112,1,3349,寶德,400716,5
705,112,1,3354,律勝,701124,5
706,112,1,3356,奇偶,898221,5
707,112,1,3357,臺慶科,1020340,4
708,112,1,3360,尚立,764021,5
709,112,1,3362,先進光,1424599,4
710,112,1,3363,上詮,883366,5
711,112,1,3372,典範,1754100,4
712,112,1,3373,熱映,432898,5
713,112,1,3374,精材,2713643,3
714,112,1,3376,新日興,1877483,4
715,112,1,3379,彬台,380417,5
716,112,1,3380,明泰,5417185,2
717,112,1,3388,崇越電,740624,5
718,112,1,3390,旭軟,686551,5
719,112,1,3402,漢科,730476,5
720,112,1,3406,玉晶光,1127431,4
721,112,1,3413,京鼎,971595,5
722,112,1,3416,融程電,763022,5
723,112,1,3419,譁裕,1204804,4
724,112,1,3426,台興,264000,5
725,112,1,3430,奇鈦科,337161,5
726,112,1,3432,台端,665860,5
727,112,1,3434,哲固,240620,5
728,112,1,3437,榮創,1445480,4
729,112,1,3438,類比科,471658,5
730,112,1,3441,聯一光電,400399,5
731,112,1,3443,創意,1340119,4
732,112,1,3444,利機,441146,5
733,112,1,3447,展達,768196,5
734,112,1,3450,聯鈞,1456814,4
735,112,1,3454,晶睿,865679,5
736,112,1,3455,由田,598507,5
737,112,1,3465,進泰電子,323298,5
738,112,1,3466,致振,612006,5
739,112,1,3479,安勤,712682,5
740,112,1,3481,群創,95564562,1
741,112,1,3483,力致,781465,5
742,112,1,3484,崧騰,755365,5
743,112,1,3489,森寶,831307,5
744,112,1,3490,單井,550065,5
745,112,1,3491,昇達科,621586,5
746,112,1,3492,長盛,355316,5
747,112,1,3494,誠研,1240000,4
748,112,1,3498,陽程,628730,5
749,112,1,3499,環天科,549706,5
750,112,1,3501,維熹,1182579,4
751,112,1,3504,揚明光,1140598,4
752,112,1,3508,位速,1108217,4
753,112,1,3511,矽瑪,799729,5
754,112,1,3512,皇龍,840000,5
755,112,1,3515,華擎,1219894,4
756,112,1,3516,亞帝歐,505902,5
757,112,1,3518,柏騰,807422,5
758,112,1,3520,華盈,688468,5
759,112,1,3521,鴻翊,606744,5
760,112,1,3522,御頂,425250,5
761,112,1,3523,迎輝,618299,5
762,112,1,3526,凡甲,589978,5
763,112,1,3527,聚積,444451,5
764,112,1,3528,安馳,663660,5
765,112,1,3529,力旺,761885,5
766,112,1,3530,晶相光,784559,5
767,112,1,3531,先益,611750,5
768,112,1,3532,台勝科,3878483,3
769,112,1,3533,嘉澤,1108824,4
770,112,1,3535,晶彩科,790523,5
771,112,1,3536,誠創,1068000,4
772,112,1,3537,堡達,535647,5
773,112,1,3540,曜越,730665,5
774,112,1,3541,西柏,567871,5
775,112,1,3543,州巧,892631,5
776,112,1,3545,敦泰,2159770,3
777,112,1,3546,宇峻,481777,5
778,112,1,3548,兆利,601214,5
779,112,1,3550,聯穎,875500,5
780,112,1,3551,世禾,567749,5
781,112,1,3552,同致,855929,5
782,112,1,3555,博士旺,257628,5
783,112,1,3556,禾瑞亞,637029,5
784,112,1,3557,嘉威,803004,5
785,112,1,3558,神準,490609,5
786,112,1,3563,牧德,447282,5
787,112,1,3564,其陽,591231,5
788,112,1,3567,逸昌,339540,5
789,112,1,3570,大塚,170970,5
790,112,1,3576,聯合再生,16277954,1
791,112,1,3577,泓格,581506,5
792,112,1,3580,友威科,394707,5
793,112,1,3581,博磊,510060,5
794,112,1,3583,辛耘,811390,5
795,112,1,3587,閎康,623131,5
796,112,1,3588,通嘉,568528,5
797,112,1,3591,艾笛森,1377152,4
798,112,1,3592,瑞鼎,758552,5
