代號,名稱,年月日,100-200 張(比率),200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101,台泥,2014/01/02,2.17,2.79,2.12,1.55,1.2,79.66
1102,亞泥,2014/01/02,1.88,1.96,1.09,1.05,0.7,84.41
1103,嘉泥,2014/01/02,2.37,2.71,1.79,1.66,1.25,76.85
1104,環泥,2014/01/02,2.47,2.08,2.23,1.42,1.35,76.34
1108,幸福,2014/01/02,2.39,2.98,2.31,2.09,1.8,73.4
1109,信大,2014/01/02,1.9,2.29,2.14,1.48,0.68,86.15
1110,東泥,2014/01/02,0.78,1.4,0.71,0.85,0.45,91.58
1201,味全,2014/01/02,2.12,2.67,2.2,2.03,2.18,77.06
1203,味王,2014/01/02,2.37,3.86,2.89,2.23,3.35,72.62
1210,大成,2014/01/02,4.24,3.45,2.23,2.68,2.42,55.38
1213,大飲,2014/01/02,1.5,0.74,0,0,0,72.12
1215,卜蜂,2014/01/02,4.06,4.73,1.52,0.84,1.49,51.3
1216,統一,2014/01/02,1.36,1.7,1.69,1.42,1.55,83.82
1217,愛之味,2014/01/02,5.08,4.57,2.63,2.77,2.53,39.35
1218,泰山,2014/01/02,4.87,4,4.33,2.19,1.37,52.52
1219,福壽,2014/01/02,1.22,1.76,1.33,1.73,1.13,82.3
1220,台榮,2014/01/02,3.43,5.14,4.02,2.79,1.45,71.74
1225,福懋油,2014/01/02,2.85,3.99,0.86,1.38,2.73,72.61
1227,佳格,2014/01/02,1.59,1.86,1.48,1.25,1.18,81.34
1229,聯華,2014/01/02,2.73,2.94,1.91,0.97,0.7,73.9
1231,聯華食,2014/01/02,3.53,3.09,2.7,1.01,0.75,67.24
1232,大統益,2014/01/02,1.92,1.2,1.55,0.9,1.21,78.15
1233,天仁,2014/01/02,6.46,8.53,7.06,1.49,4.99,55.53
1234,黑松,2014/01/02,2.99,3.44,3.75,3.74,2.3,75.24
1235,興泰,2014/01/02,1.15,2.81,1.68,0,3.3,82.7
1236,宏亞,2014/01/02,2.06,2.5,0.86,2.07,0,81.15
1256,鮮活果汁-KY,2014/01/02,4.4,8.06,11.44,7.83,0,50.16
1259,安心,2014/01/02,4.48,4.67,5.26,0,2.57,64.76
1301,台塑,2014/01/02,1.83,1.62,1.16,0.79,0.72,82.66
1303,南亞,2014/01/02,1.91,1.68,1.13,0.73,0.79,83.31
1304,台聚,2014/01/02,4.39,2.99,1.59,1,0.78,57.4
1305,華夏,2014/01/02,3.36,2.53,2.9,1.67,0.76,68.04
1307,三芳,2014/01/02,1.85,1.95,1.7,0.9,0.22,82.9
1308,亞聚,2014/01/02,4.61,2.81,1.9,1.34,0.78,50.61
1309,台達化,2014/01/02,4.8,3.47,1.96,2.18,1.08,53.62
1310,台苯,2014/01/02,5.76,5.65,3.4,1.79,2.65,38.05
1312,國喬,2014/01/02,2.17,2.66,2.12,2.1,2.06,73.15
1313,聯成,2014/01/02,4.32,4.12,1.44,1.24,1.23,68.22
1314,中石化,2014/01/02,5.79,4.94,1.73,1.12,1.11,34.66
1315,達新,2014/01/02,2.51,2.29,1.12,1.87,0.84,81.85
1316,上曜,2014/01/02,4.7,5.86,2.36,1.02,0.59,64.36
1319,東陽,2014/01/02,2.46,3.18,1.78,2.68,1.64,75.96
1321,大洋,2014/01/02,6.19,8.19,6.3,3.41,4.35,58.61
1323,永裕,2014/01/02,3.39,7.88,5.96,6.2,4.5,43.06
1324,地球,2014/01/02,2.9,2.67,3.17,1.78,1.07,66.6
1325,恒大,2014/01/02,4.28,2.28,2.52,1.86,0.83,68.02
1326,台化,2014/01/02,1.16,1.16,0.86,0.61,0.47,88.57
1336,台翰,2014/01/02,8.77,5.84,2.24,3.18,2.94,52.56
1337,再生-KY,2014/01/02,3.57,3.62,4.64,2.4,2.75,67.53
1338,廣華-KY,2014/01/02,5.17,5.85,4.54,9.1,5.5,55.63
1339,昭輝,2014/01/02,3.78,2.98,0.7,1.13,0,81.44
1340,勝悅-KY,2014/01/02,0.21,0,1.58,0,3.5,93.58
1402,遠東新,2014/01/02,0.95,1.02,0.77,0.73,0.35,90.87
1409,新纖,2014/01/02,3.95,3.54,2.12,1.31,0.99,62.82
1410,南染,2014/01/02,4.45,5.67,2.14,2.33,1.81,60.86
1413,宏洲,2014/01/02,7.04,4.61,4.71,1.9,1.07,54.39
1414,東和,2014/01/02,5.3,4.47,4.3,2.31,0.41,49.14
1416,廣豐,2014/01/02,4.08,4.35,3,1.28,1.53,63.63
1417,嘉裕,2014/01/02,6.08,5.72,3.15,2.91,1.47,41.54
1418,東華,2014/01/02,6.23,9.04,4.99,1.02,2.09,50.93
1419,新紡,2014/01/02,1.96,2.57,1.46,0.67,1.79,80.9
1423,利華,2014/01/02,6.29,6.08,2.97,4.88,3.12,50.64
1432,大魯閣,2014/01/02,2.8,2.12,1.26,1.16,1.05,72.66
1434,福懋,2014/01/02,2.04,2.12,1.69,0.89,1.44,82.59
1435,中福,2014/01/02,6.46,5.55,3.11,1.44,0.6,52.72
1436,華友聯,2014/01/02,1.97,3.83,0.72,2.28,2.94,81.78
1437,勤益控,2014/01/02,4.97,6.44,2.91,2.08,1.65,56.8
1438,三地開發,2014/01/02,5.87,6.66,3.28,2.07,3.64,61.58
1439,雋揚,2014/01/02,2.99,2.08,1.79,0,1.97,62.96
1440,南紡,2014/01/02,2.55,2.47,1.87,1.2,1.21,77.98
1441,大東,2014/01/02,6.23,6.29,5.35,1.55,4.84,45.24
1442,名軒,2014/01/02,5.89,5.12,2.38,4.27,2.29,66.46
1443,立益物流,2014/01/02,3.96,3.96,3.16,2.03,2.67,68.46
1444,力麗,2014/01/02,4.83,3.68,1.31,1.94,1.8,61.24
1445,大宇,2014/01/02,5.57,5.82,5.11,1.96,3.1,57.87
1446,宏和,2014/01/02,4.48,3.8,0.72,5.55,1.95,72.67
1447,力鵬,2014/01/02,3.17,3.13,1.99,1.99,0.89,71.49
1449,佳和,2014/01/02,4.2,4.86,2.88,1.52,0.96,68.94
1451,年興,2014/01/02,3.34,4.29,3.15,1.64,1.11,65.94
1452,宏益,2014/01/02,4.85,8.88,7.38,3.13,4.01,41.58
1453,大將,2014/01/02,4.44,2.96,1.22,0,0.98,76.25
1454,台富,2014/01/02,4.13,3.29,4.3,5.35,3.72,63.15
1455,集盛,2014/01/02,5.13,4.51,3.56,0.58,1.52,60.63
1456,怡華,2014/01/02,1.73,2.57,1.61,2.03,0.66,84.97
1457,宜進,2014/01/02,5.21,5.69,4.45,3.18,1.97,51.13
1459,聯發,2014/01/02,2.15,2.13,1.87,2.46,2.71,75.8
1460,宏遠,2014/01/02,4.75,5.41,3.32,1.32,2.04,67.18
1463,強盛,2014/01/02,4.49,4.84,5.48,5.29,1.48,57.48
1464,得力,2014/01/02,3.26,5.23,3.88,1.3,1.25,71.65
1465,偉全,2014/01/02,4.7,4.7,5.98,1.64,3.13,50.61
1466,聚隆,2014/01/02,6.22,6.97,3.08,5.42,5.27,41.49
1467,南緯,2014/01/02,7.44,7.43,6.93,2.69,3.1,44.41
1468,昶和,2014/01/02,0.33,0.37,0,0,0,97.1
1470,大統新創,2014/01/02,3.56,3.78,7.39,3.02,3.03,73.57
1471,首利,2014/01/02,5.22,4.07,3.04,2.07,0.9,39.22
1472,三洋實業,2014/01/02,5.53,7.18,4.76,7.73,1.23,56.21
1473,台南,2014/01/02,4.03,5.4,4.1,1.83,2.45,51.29
1474,弘裕,2014/01/02,5.94,6.72,3.95,2.99,4.02,52.04
1475,業旺,2014/01/02,0.7,0,0,0,0,95.05
1476,儒鴻,2014/01/02,5.69,8.77,5.24,2.96,2.2,65.71
1477,聚陽,2014/01/02,7.14,8.14,8.59,6.66,6.33,36.12
1503,士電,2014/01/02,2.18,1.6,1.62,1.05,1.22,78.53
1504,東元,2014/01/02,2.6,3.87,2.71,2.08,1.46,73.19
1506,正道,2014/01/02,6.45,8.1,6.43,3.64,5.34,39.28
1512,瑞利,2014/01/02,4.08,4.57,3.42,4.33,0.99,63.35
1513,中興電,2014/01/02,4.58,4.3,2.78,2.63,2.5,50.55
